date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:57	773136/773136	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2006:10:47%20GMT	https://invitera.site/files/event/6/cb68880ac4ec389435b67ee8c3f32ee0.png	C:/weboffline/undangan/invitera.site/files/event/6/cb68880ac4ec389435b67ee8c3f32ee0.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:57	607342/607342	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:43:10%20GMT	https://invitera.site/files/event/6/a353d3e53c4b0f883fd87a4d539e7a3a.png	C:/weboffline/undangan/invitera.site/files/event/6/a353d3e53c4b0f883fd87a4d539e7a3a.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:57	3612/3612	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Jun%202022%2010:47:47%20GMT	https://invitera.site/images/nav_rsvp.png?v2	C:/weboffline/undangan/invitera.site/images/nav_rsvp1b26.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:57	3201/3201	---M--	200	added ('OK')	image/png	date:Mon,%2016%20May%202022%2017:20:51%20GMT	https://invitera.site/images/nav_gallery.png	C:/weboffline/undangan/invitera.site/images/nav_gallery.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:57	5202/5202	---M--	200	added ('OK')	image/png	date:Mon,%2016%20May%202022%2017:20:51%20GMT	https://invitera.site/images/nav_wishes.png	C:/weboffline/undangan/invitera.site/images/nav_wishes.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:57	3510/3510	---M--	200	added ('OK')	image/png	date:Mon,%2016%20May%202022%2017:20:51%20GMT	https://invitera.site/images/nav_protocol.png	C:/weboffline/undangan/invitera.site/images/nav_protocol.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:58	97808/97808	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:30:24%20GMT	https://invitera.site/files/event/6/8606f9855dd8d782402c41b216a882b2.png	C:/weboffline/undangan/invitera.site/files/event/6/8606f9855dd8d782402c41b216a882b2.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:58	646543/646543	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:21:10%20GMT	https://invitera.site/files/themes/12/3ae39ccd906e2fc1a5731b1e33f5ae53.png	C:/weboffline/undangan/invitera.site/files/themes/12/3ae39ccd906e2fc1a5731b1e33f5ae53.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:58	7439/7439	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:21:10%20GMT	https://invitera.site/files/themes/12/44a807f3d00ee2c13af1f51cf476ed4f.png	C:/weboffline/undangan/invitera.site/files/themes/12/44a807f3d00ee2c13af1f51cf476ed4f.png	(from https://invitera.site/jimmyclarissa/62818281616)
13:13:58	1084/1084	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:30:24%20GMT	https://invitera.site/files/event/6/1c2d7ff33b2383c465c6eaff595d7401.png	C:/weboffline/undangan/invitera.site/files/event/6/1c2d7ff33b2383c465c6eaff595d7401.png	(from https://invitera.site/jimmyclarissa/62818281616)
